village_id,village_name,population,healthcare_access,education_access,water_supply,electricity,road_connectivity,income_level
141,Ccegighpyville,199,No,Yes,Full,No,Good,High
142,Pjqqmgjtwjwville,296,No,Yes,Partial,No,Good,Low
143,Xuruetzkugville,1240,No,Yes,Full,No,Good,High
144,Tbpjdbville,1698,No,No,None,No,Good,Medium
145,Utixmwxville,718,No,No,None,No,Poor,High
146,Xhgpopwohville,1691,Yes,Yes,Partial,No,Poor,High
147,Uexoknville,258,No,No,Partial,Yes,Good,Medium
148,Ukhlvhfqville,287,No,No,None,No,Good,Low
149,Lrwnrpeyville,537,No,No,Partial,Yes,Fair,High
150,Ywpmmzfcuxville,551,No,No,None,Yes,Poor,Low
151,Wcwgvhville,1739,Yes,Yes,Partial,No,Good,High
152,Xggqbpwuksville,520,No,Yes,None,No,Good,Low
153,Uvcrqdpweville,262,Yes,Yes,Full,Yes,Poor,High
154,Jhlsgjaujxbville,1608,No,No,Partial,No,Poor,Low
155,Gjzfcdville,1348,Yes,Yes,Partial,Yes,Fair,High
156,Igachlville,541,Yes,Yes,None,Yes,Fair,Low
157,Eiotfartville,1326,Yes,Yes,None,No,Fair,Medium
158,Wxgyouville,1681,Yes,No,None,No,Poor,Medium
159,Kdcacuville,1899,Yes,Yes,Partial,No,Good,Low
160,Ehtvgqjzville,1203,Yes,Yes,Partial,No,Fair,Low
161,Risjkroville,854,No,No,None,No,Poor,High
162,Qhbxftville,253,Yes,Yes,Full,No,Poor,Medium
163,Csndcrgbnville,1857,No,Yes,Full,No,Poor,Medium
164,Kjmpbboville,1369,No,No,None,No,Poor,Low
165,Ncccujjbxbville,1910,Yes,Yes,Full,Yes,Fair,High
166,Hhzhsjixtville,1615,No,No,Full,No,Good,Medium
167,Xucrivville,705,Yes,Yes,Full,Yes,Fair,Low
168,Stpxwftyskville,1221,Yes,No,Full,Yes,Poor,Medium
169,Yhexqdpuville,1585,No,Yes,None,Yes,Fair,High
170,Voanlvvdtrqville,1417,No,No,None,No,Fair,Low
171,Flimwiaeville,952,No,Yes,None,No,Poor,Low
172,Xlqpxfyville,1545,No,No,Partial,Yes,Fair,Low
173,Wapzluicville,1335,No,No,Partial,No,Poor,High
174,Emqbxbxpbville,1418,No,Yes,Full,No,Fair,High
175,Oendhbville,1994,Yes,No,Full,No,Fair,Medium
176,Yjhxjmbnville,1228,No,No,Partial,Yes,Good,Low
177,Vgllijhqdiqville,1714,No,No,Partial,No,Poor,Low
178,Wycjaordville,1852,No,Yes,Partial,Yes,Good,High
179,Mlyivvgville,1902,No,Yes,None,No,Poor,Medium
180,Vjuzdhville,1876,Yes,No,Partial,Yes,Good,High
181,Szvapnjville,1587,Yes,No,Full,No,Fair,Medium
182,Weevaajlzmbville,135,No,No,Full,No,Fair,High
183,Qrcxqzpnville,1638,Yes,Yes,None,Yes,Good,Medium
184,Pvcuvxwsboqville,132,Yes,No,Full,Yes,Poor,Low
185,Iqoxzutlville,1948,No,No,None,No,Poor,Medium
186,Zzgxkacrgville,1950,Yes,No,Full,No,Fair,Low
187,Golznwzfocaville,238,No,Yes,None,No,Fair,Medium
188,Mwpodnbville,481,No,Yes,Full,Yes,Good,Low
189,Ubyptaville,1420,No,Yes,Full,Yes,Fair,Low
190,Mreninville,1438,No,No,None,Yes,Fair,High
191,Pdfrsufville,1146,No,No,None,No,Fair,Low
192,Cgvdlkosville,1242,Yes,Yes,Partial,No,Good,Medium
193,Pqmyirwnville,1138,Yes,Yes,Partial,Yes,Poor,High
194,Aiwvvdonville,877,No,Yes,Partial,Yes,Poor,Medium
195,Dvdmbtsqville,414,No,Yes,Partial,No,Good,Low
196,Jzutuyville,992,Yes,No,Full,No,Fair,Low
197,Waryrlmuzkbville,624,Yes,No,Partial,No,Poor,High
198,Omqyowycville,1858,No,No,Partial,No,Good,High
199,Jqzbvfcville,540,No,Yes,Full,No,Good,Medium
200,Bpvihvxrxzville,1038,No,Yes,Partial,No,Good,High
201,Jhglescmwmeville,1007,Yes,Yes,None,Yes,Good,Low
202,Iztyetville,1052,Yes,Yes,None,No,Fair,Low
203,Fvzabpville,1833,Yes,Yes,None,Yes,Fair,High
204,Unknown,1268,No,No,Full,No,Fair,High
205,Ikfhqqville,564,No,No,Full,No,Poor,High
206,Gamafaqcnfville,1376,No,Yes,None,No,Good,Low
207,Ulmjeusqljville,1898,Yes,Yes,Full,Yes,Good,Medium
208,Frofdzswvqfville,365,Yes,No,Partial,Yes,Fair,Low
209,Obykpohelwwville,155,Yes,Yes,None,Yes,Good,Low
210,Ipqwvztzhnfville,1727,Yes,No,Partial,No,Fair,Medium
211,Unknown,391,Yes,No,Full,No,Fair,Low
212,Blhukljduoville,142,No,Yes,Full,No,Good,Medium
213,Gvlzrohiuqrville,569,No,Yes,Partial,Yes,Fair,Medium
214,Buozvjtoville,220,Yes,No,Full,No,Poor,Medium
215,Ezsguoyvville,1562,Yes,No,Partial,No,Good,Low
216,Bmyudniville,151,No,Yes,Partial,Yes,Fair,Low
217,Unknown,1710,No,No,Partial,No,Fair,Medium
218,Wimrvtville,142,Yes,Yes,None,No,Fair,Low
219,Ijlydzville,502,Yes,No,Partial,No,Fair,Medium
220,Bswapuville,1836,Yes,Yes,None,Yes,Poor,High
221,Izxrphpwzville,539,Yes,Yes,Partial,No,Poor,Low
222,Gfyelppgmpville,378,No,Yes,Partial,No,Poor,Medium
223,Ivmdyeghdville,458,No,Yes,Full,No,Fair,Low
224,Unknown,1298,Yes,Yes,None,Yes,Poor,High
225,Ioxtavlville,202,Yes,Yes,None,Yes,Good,High
226,Zzjafqville,1392,Yes,No,Partial,No,Poor,Medium
227,Hnofatkville,823,No,No,None,Yes,Good,Low
228,Hewnyiiville,230,Yes,No,Full,No,Poor,Low
229,Zhzwhrzville,1714,Yes,No,None,No,Good,Low
230,Plsednville,565,Yes,Yes,Partial,No,Poor,High
231,Ubezlpbgfyfville,1003,No,No,None,No,Fair,Medium
232,Unknown,969,Yes,No,None,No,Good,Medium
233,Jdrchsville,1102,No,No,None,Yes,Good,Medium
234,Pvmqgghmgville,1940,Yes,No,None,Yes,Fair,Low
235,Tpkwxbgoville,1457,Yes,Yes,Partial,Yes,Good,Low
236,Kukoxzville,1404,Yes,Yes,Full,No,Poor,Medium
237,Odehzglville,1420,No,Yes,None,Yes,Good,High
238,Nhrqvsville,437,Yes,No,None,No,Good,Medium
239,Hzanarrrqnville,288,Yes,No,Full,Yes,Poor,Low
240,Wyiuzvqqgltville,129,No,No,Partial,No,Poor,Low
241,Zxpqyfaezpville,1872,Yes,Yes,Full,Yes,Good,High
242,Qwcaasuville,274,Yes,Yes,Partial,No,Fair,High
243,Qvhmovrlitdville,1477,No,Yes,Partial,No,Poor,Medium
244,Nkwlnganrqjville,627,No,No,None,No,Fair,Medium
245,Bkwzytville,1497,No,No,Partial,Yes,Poor,Low
246,Xciwwilpville,1764,No,No,Partial,Yes,Poor,Low
247,Gyoevvvdville,805,No,Yes,Full,Yes,Fair,Medium
248,Inrepqkzville,950,No,No,None,Yes,Fair,Medium
249,Dyqiudville,1524,No,Yes,Full,No,Good,High
250,Rtcqsxville,1583,No,No,None,Yes,Poor,Low
251,Ehkunwmayrxville,1890,Yes,Yes,Partial,No,Poor,High
252,Vazzkoville,1669,No,Yes,Full,Yes,Poor,High
253,Alxrzqqcnsville,469,No,Yes,None,Yes,Poor,High
254,Bfsnynville,277,Yes,Yes,Partial,No,Good,High
255,Xscdztwville,1922,Yes,Yes,Full,No,Good,Medium
256,Unknown,549,Yes,Yes,Full,Yes,Poor,High
257,Adtehtlhiville,265,No,No,Full,Yes,Fair,High
258,Nwqlbhbville,1156,Yes,No,Full,Yes,Fair,Low
259,Zbytzbfrbville,1866,No,Yes,Partial,Yes,Fair,Low
260,Eakbobvvhiville,1880,Yes,No,Full,No,Good,Low
261,Nxcbdpville,441,Yes,No,Full,Yes,Fair,Low
262,Trluznyxeville,1649,No,No,Partial,No,Poor,Low
263,Rziuhvgfteaville,1227,No,No,Full,No,Poor,High
264,Qutcbsqville,338,Yes,No,Full,Yes,Fair,Low
265,Djwnmsowspmville,246,No,Yes,None,Yes,Poor,Low
266,Hujgswiybville,966,Yes,Yes,None,No,Fair,Medium
267,Rokhlulgyville,872,No,Yes,None,Yes,Poor,Medium
268,Sstnjnmhjjmville,193,Yes,Yes,None,No,Poor,Low
269,Arosnuftville,1384,Yes,No,Full,Yes,Fair,High
270,Hpujktyzjaville,443,No,Yes,None,Yes,Fair,High
271,Yigfgjrville,1381,Yes,No,None,No,Good,Medium
272,Mhyryxyville,1937,No,Yes,Partial,Yes,Poor,Low
273,Fzlhxoxxeville,1889,No,No,Partial,Yes,Fair,Low
274,Ybzwluwjville,253,No,No,None,No,Fair,Medium
275,Ttenrrhville,366,Yes,No,Partial,Yes,Fair,High
276,Wqmgknzville,575,No,No,None,Yes,Poor,High
277,Irutljaville,436,Yes,Yes,None,No,Poor,Medium
278,Hrdpwhdwocqville,1270,No,Yes,Full,No,Good,High
279,Kjrrynville,606,No,No,None,No,Good,Medium
280,Bxfgavooville,1051,Yes,Yes,Full,Yes,Good,Low
281,Orhrcfville,212,No,Yes,Full,Yes,Good,Medium
282,Lzcehvville,895,No,Yes,None,Yes,Good,High
283,Gmbapbville,1617,Yes,No,None,No,Good,High
284,Ctrdifeigoville,924,Yes,Yes,None,Yes,Fair,Low
285,Unknown,1797,Yes,No,Full,Yes,Fair,Low
286,Gbtnhthngrqville,396,Yes,No,Partial,No,Poor,Low
287,Ioodkfctville,478,Yes,No,Full,Yes,Fair,High
288,Xxnfwrzhrville,289,Yes,Yes,Partial,Yes,Fair,Low
289,Gbwowoicville,947,No,No,None,No,Fair,Medium
290,Yrxkapqville,372,Yes,Yes,None,Yes,Poor,Medium
291,Hmszzbville,407,No,No,Partial,No,Good,High
292,Unknown,1285,No,No,Partial,Yes,Good,High
293,Yyxnbgynville,741,No,No,Partial,Yes,Poor,Low
294,Tegceoykkzyville,1995,Yes,Yes,None,No,Poor,Medium
295,Pcswrfvndlville,337,Yes,No,Full,Yes,Fair,Medium
296,Qmpbzayville,1697,No,No,None,No,Good,High
297,Ritzdtbcupville,1314,No,Yes,None,No,Good,Low
298,Uiscdbville,1697,Yes,Yes,Partial,Yes,Poor,High
299,Efpollzheioville,1137,No,No,Partial,Yes,Good,Medium
300,Iizdwxuville,1243,No,No,Full,No,Good,Medium
301,Eitwyechemgville,380,No,Yes,Full,Yes,Good,Medium
302,Jtjcxtmrcville,1876,Yes,Yes,None,No,Poor,High
303,Unknown,495,Yes,No,Partial,Yes,Fair,Medium
304,Xqkyxwhyville,179,No,Yes,Partial,Yes,Poor,Medium
305,Mdimjgiqlville,788,Yes,No,Full,No,Good,Medium
306,Nzmkxdodbbville,1436,Yes,Yes,None,Yes,Good,Medium
307,Ngmqtrville,456,No,No,Full,Yes,Poor,High
308,Rdhtclunhrville,530,No,No,Full,Yes,Poor,Low
309,Uxpmnrssville,1250,Yes,No,Partial,Yes,Fair,Medium
310,Znfylzfville,1991,Yes,Yes,Full,Yes,Fair,Low
311,Gomicxsdxqville,1005,Yes,No,None,No,Fair,High
312,Nkncqaville,1903,No,Yes,None,Yes,Fair,Low
313,Gcagovdeyqville,754,Yes,Yes,Full,Yes,Poor,Low
314,Gutlnqwville,1490,No,Yes,None,Yes,Fair,Low
315,Jfkjzfville,1633,Yes,No,Full,Yes,Good,Low
316,Sofkriomville,899,No,No,Full,Yes,Poor,Low
317,Tjqpyjovville,572,No,Yes,Full,Yes,Poor,Low
318,Aongwmville,1410,Yes,Yes,None,No,Fair,Medium
319,Tylhchvaoaville,1173,No,No,None,Yes,Fair,Medium
320,Vyndichsville,1059,No,Yes,Full,Yes,Fair,Low
321,Jzdnxsville,746,No,Yes,None,No,Fair,Low
322,Ldvjnzwjqfville,1359,No,Yes,Partial,No,Poor,High
323,Hhnjlbcpdebville,1255,No,Yes,None,Yes,Fair,Low
324,Qymbvcjville,1999,No,No,None,Yes,Good,High
325,Ztytyznville,1768,No,Yes,Full,Yes,Good,Medium
326,Xiszppshzqgville,1396,Yes,Yes,None,Yes,Fair,Low
327,Yjzhnxywzville,1324,No,No,Partial,Yes,Good,High
328,Qnvwunqtville,1155,Yes,Yes,Full,Yes,Fair,Medium
329,Vcoilnoehville,1320,No,No,Full,Yes,Fair,Low
330,Unknown,480,No,Yes,Full,No,Good,High
331,Unknown,397,No,No,None,Yes,Fair,Medium
332,Errtxwibville,596,No,No,Partial,No,Poor,Low
333,Dsbleyntrkville,1380,No,No,None,No,Fair,Medium
334,Hdytpcisrzfville,1076,Yes,Yes,Full,No,Poor,High
335,Rcdjibvville,1658,No,No,None,No,Poor,High
336,Niciopvnville,780,Yes,Yes,Full,No,Fair,Medium
337,Nrfjgyville,882,No,No,Partial,Yes,Poor,Medium
338,Lgbezfxbville,1218,Yes,Yes,Full,No,Good,Medium
339,Lkslfaqwville,444,Yes,Yes,Partial,No,Poor,Medium
340,Hkfqgrjprjville,1343,No,Yes,Partial,Yes,Good,Medium
341,Irhvmvdyxsnville,1090,Yes,Yes,None,No,Fair,Medium
342,Azblyilptkville,595,Yes,No,Partial,Yes,Good,Low
343,Unknown,477,No,Yes,Full,Yes,Poor,High
344,Nhixeegoville,824,Yes,Yes,None,No,Good,Medium
345,Dkzwilville,1782,Yes,Yes,Full,Yes,Fair,Medium
346,Jxzezuiiopville,989,Yes,No,Full,Yes,Fair,Medium
347,Unknown,589,No,No,None,No,Poor,High
348,Yorbbfoville,619,Yes,Yes,Full,No,Poor,Low
349,Squgzkmville,725,Yes,Yes,Full,No,Fair,Medium
350,Unknown,684,No,Yes,Full,Yes,Poor,Medium
351,Gtotezmville,556,No,No,None,Yes,Fair,Low
352,Suvefeville,1102,No,Yes,Partial,Yes,Poor,Low
353,Gsfodcqjnasville,157,No,Yes,Partial,Yes,Poor,Medium
354,Lfypwrroville,963,No,No,Partial,Yes,Poor,Low
355,Rpmamhvjiwville,970,Yes,No,Full,Yes,Fair,Low
356,Kapzzwruville,1201,Yes,Yes,Partial,Yes,Good,Medium
357,Pdclxyovzville,1346,No,No,None,Yes,Good,Low
358,Rncctfnfijzville,1834,Yes,Yes,Partial,Yes,Good,Medium
359,Preiguxville,1992,Yes,Yes,Partial,No,Good,High
360,Orkbrwyyzylville,326,Yes,No,Full,No,Poor,Low
361,Iwsxdzville,280,No,Yes,None,Yes,Fair,Medium
362,Lnjuirfhmlville,1060,Yes,Yes,Partial,No,Poor,High
363,Unknown,706,No,Yes,None,Yes,Good,Low
364,Aadgyugqwmcville,180,Yes,Yes,Full,No,Good,Medium
365,Fcpikmwimnville,1248,Yes,Yes,Partial,No,Good,Medium
366,Fjvdsthdcrfville,663,Yes,Yes,None,No,Good,Medium
367,Gutfvbsbgymville,142,Yes,Yes,None,No,Poor,Low
368,Cpgivnmcville,139,Yes,Yes,Full,Yes,Good,High
369,Ibgecjoville,457,No,Yes,None,Yes,Poor,Medium
370,Tgnehftville,1976,Yes,Yes,Partial,Yes,Good,Medium
371,Lgfbhstdxykville,196,No,No,None,Yes,Good,Medium
372,Uoqtvqrvville,1847,No,No,None,No,Poor,High
373,Qjdflqprheville,397,No,Yes,Full,Yes,Fair,Low
374,Cygjaszncmzville,316,Yes,Yes,None,No,Poor,Medium
375,Xdscuuxetiville,1171,No,No,Full,No,Fair,Low
376,Quxycgville,198,No,Yes,Full,Yes,Good,Low
377,Suijsgkqville,641,No,No,Full,Yes,Fair,High
378,Sxktqpljville,346,Yes,Yes,None,No,Fair,High
379,Wxgxayjvsmville,1806,No,No,Full,No,Fair,Low
380,Hvziasjsville,297,No,Yes,Partial,No,Good,Low
381,Rdaoehuvville,259,No,Yes,Partial,Yes,Fair,High
382,Iqatfsbjville,1493,No,No,None,Yes,Good,Medium
383,Rasilyville,546,No,Yes,Full,Yes,Poor,High
384,Sdiqsnpmscuville,1493,No,Yes,Full,No,Poor,Low
385,Hfmlozville,1803,Yes,No,Full,No,Fair,High
386,Dyokdghheugville,130,No,No,Partial,Yes,Poor,Low
387,Razmrztsmuville,920,No,Yes,None,Yes,Poor,Medium
388,Shadtwville,754,Yes,Yes,Partial,Yes,Fair,Medium
389,Cqlepbvlbxeville,1222,Yes,No,Full,Yes,Poor,Low
390,Ybkljasbevville,1853,Yes,Yes,Partial,No,Poor,Low
391,Sutlumville,1174,Yes,No,Full,No,Fair,Medium
392,Plmskxajxmlville,780,No,No,None,Yes,Poor,Medium
393,Kujumuwjsville,916,No,Yes,Partial,No,Good,Low
394,Gyttrkiedoville,630,No,No,None,Yes,Good,Low
395,Hzwfigville,1730,No,No,None,No,Fair,High
396,Bygcfoxsville,537,No,No,Partial,No,Fair,High
397,Rpxvujxlville,1785,Yes,Yes,Full,No,Good,Medium
398,Oosymefkucwville,1945,No,No,None,Yes,Good,Low
399,Wkithaqnhsville,621,No,No,Full,Yes,Fair,Low
400,Bhrowzzllrville,784,Yes,No,Full,No,Poor,Medium
401,Anabkbqtjhzville,1201,Yes,Yes,Full,No,Poor,Medium
402,Yshxgprwtmxville,1050,Yes,No,None,Yes,Fair,High
403,Leqsdnneybville,1261,No,No,Partial,No,Good,Medium
404,Cftczsville,1984,Yes,No,None,Yes,Poor,Low
405,Vloaypafcville,1971,Yes,No,None,Yes,Poor,Low
406,Ibrpyvdville,634,No,No,None,Yes,Poor,Low
407,Qygajvxville,224,No,Yes,Partial,Yes,Fair,Low
408,Qdkamomzville,393,No,No,None,Yes,Poor,Low
409,Unknown,553,No,Yes,None,No,Fair,Medium
410,Nsjboxyoville,409,No,No,None,No,Poor,Medium
411,Vyuobsville,1136,No,No,Full,Yes,Poor,High
412,Fstfkchrwcnville,460,Yes,Yes,Full,Yes,Good,High
413,Zrexcjquville,1292,No,Yes,Full,No,Good,Medium
414,Nvddzqurspdville,1623,No,Yes,Partial,Yes,Good,Medium
415,Rarmrlsville,923,Yes,No,Full,Yes,Poor,Medium
416,Qyafofefhville,799,No,Yes,Partial,Yes,Poor,Medium
417,Gxvfvjlqville,1074,Yes,No,None,Yes,Poor,Medium
418,Uyernuezevville,1281,No,No,Full,No,Good,Medium
419,Chbwdifkeville,725,No,Yes,Partial,Yes,Poor,Low
420,Skspwloville,1569,Yes,Yes,None,Yes,Poor,Medium
421,Zfugpzoville,789,Yes,No,Full,Yes,Poor,High
422,Gxcdresovizville,644,Yes,Yes,Partial,No,Poor,Low
423,Eaztwtjugville,1774,Yes,No,None,Yes,Fair,Low
424,Bhljrurkkxtville,517,Yes,No,Full,No,Good,Medium
425,Kiicgwpgmville,621,No,No,Full,No,Good,High
426,Iksavtville,1989,Yes,No,Partial,Yes,Fair,Low
